,City,Latitude,Longitude,Temperature (F),Humidity,Clouds,Wind Speed (mph)
500,mandalgovi,45.76,106.27,65.35,52,46,25.37
501,delemont,47.36,7.34,67.73,82,86,3.36
502,chauk,20.88,94.82,90.95,58,88,7.49
503,kambove,-10.88,26.6,46.54,60,0,6.17
504,tutoia,-2.76,-42.27,78.55,82,14,9.26
505,touros,-5.2,-35.46,73.4,94,75,4.7
506,babati,-4.22,35.75,50.11,93,30,0.85
507,graaff-reinet,-32.25,24.53,54.0,22,0,1.01
508,noumea,-22.28,166.46,71.6,46,90,12.75
509,pilot butte,50.47,-104.42,71.6,46,20,8.05
510,atar,20.52,-13.05,94.08,30,0,13.0
511,valenca do piaui,-6.41,-41.75,73.78,59,32,9.66
512,natchez,31.56,-91.4,75.2,94,1,3.65
513,denpasar,-8.65,115.22,82.4,69,40,12.75
514,loikaw,19.67,97.21,81.91,77,79,1.54
515,madaoua,14.07,5.96,82.15,61,77,12.44
516,malindi,-3.22,40.12,77.0,78,75,11.41
517,along,28.17,94.77,91.09,55,41,1.63
518,bonito,-21.12,-56.48,66.65,51,0,1.45
519,saint anthony,45.02,-93.22,68.09,64,40,9.24
520,high prairie,55.43,-116.49,68.54,88,75,3.8
521,high rock,26.62,-78.28,83.01,81,100,38.68
522,raudeberg,61.99,5.14,58.69,93,97,1.48
523,kununurra,-15.77,128.73,86.0,13,15,8.05
524,mogadishu,2.04,45.34,77.4,78,24,17.81
525,mecca,21.43,39.83,84.4,61,86,16.89
526,viedma,-40.81,-63.0,52.0,61,41,1.99
527,tomatlan,19.93,-105.25,78.33,80,100,3.31
528,lyuban,52.8,28.0,51.78,91,0,6.29
529,bonavista,48.65,-53.11,57.0,76,100,7.0
530,hirara,24.8,125.28,80.28,94,75,17.22
531,russell,32.35,-85.2,77.38,88,75,2.77
532,burns lake,54.23,-125.75,62.17,62,72,3.36
533,hakkari,37.58,44.17,70.27,24,0,2.08
534,marzuq,14.4,46.47,75.9,64,0,7.65
535,villaviciosa,43.48,-5.44,64.04,77,100,2.75
536,padang,-0.95,100.35,84.69,63,88,4.56
537,matam,15.62,-13.33,84.2,79,98,2.24
538,la seyne-sur-mer,43.1,5.88,74.88,79,11,1.01
539,palu,-0.89,119.87,83.43,72,97,2.77
540,talmenka,53.82,83.57,73.4,46,30,6.71
541,tamworth,52.63,-1.7,52.05,87,36,3.36
542,perth,-31.93,115.83,62.17,63,75,3.89
543,yabrud,33.97,36.66,66.2,77,0,10.29
544,paraiso,9.84,-83.87,70.0,100,79,1.12
545,veraval,20.9,70.37,86.16,74,97,4.97
546,novyy urgal,51.07,132.56,79.09,66,45,1.48
547,tongren,27.72,109.19,91.54,58,37,3.31
